collegeName,program,degree,decision,semester,origin,gpa,gre,gre_v,gre_aw
Carnegie Mellon University,Computer Science,Masters,Other,Fall,International,,,,
University of Southern California,Computer Science,Masters,Other,Fall,International,,,,
University of Southern California,Computer Science,Masters,Other,Fall,International,,,,
University of Southern California,Computer Science,Masters,Accepted,Fall,International,,169,168,4.50
"University Of California, Irvine",Computer Science,Masters,Accepted,Fall,American,,,,
"University Of Massachusetts, Amherst",Computer Science,Masters,Other,Fall,International,,,,
"University Of California, Irvine",Computer Science,Masters,Other,Fall,,,,,
"University Of California, Irvine",Computer Science,Masters,Accepted,Fall,American,3.82,,,
"University Of California, Irvine",Computer Science,Masters,Accepted,F20,American,,,,
"University Of Massachusetts, Amherst",Computer Science,Masters,Other,Fall,International,,,,
"University Of California, Irvine",Computer Science,Masters,Other,Fall,,,,,
"University Of California, Irvine",Computer Science,Masters,Accepted,Fall,International,,,,
"University Of California, Irvine",Computer Science,Masters,Accepted,Fall,American,,,,
"University Of Massachusetts, Amherst",Computer Science,Masters,Other,Fall,,,,,
Columbia University (Fu Foundation),Computer Science,Masters,Other,Fall,,,,,
"University Of Massachusetts, Amherst",Computer Science,Masters,Other,Fall,International,,,,
Columbia University (Fu Foundation),Computer Science,Masters,Other,Fall,International,,,,
"University Of Massachusetts, Amherst",Computer Science,Masters,Other,Fall,,,,,
Columbia University (Fu Foundation),Computer Science,Masters,Other,Spring,International,,,,
ETHH Zurich,Computer Science,Masters,Other,F20,International,,,,
McGill University,Computer Science,Masters,Other,F20,International,,,,
ETH Zurich,Computer Science,Masters,Other,F20,,,,,
University of Southern California,Computer Science,Masters,Rejected,F20,International,,,,
ETH Zurich,Computer Science,Masters,Other,F20,,,,,
McGill University,Computer Science,Masters,Other,F20,International,,,,
ETH Zurich,Computer Science,Masters,Other,F20,International,,,,
ETH Zurich,Computer Science,Masters,Accepted,F20,International,3.93,166,159,4.00
Oxford University,Computer Science,Masters,Interview,F19,International,,,,
University Of Oxford,Computer Science,Masters,Interview,F19,International,,,,
Simon Fraser University,Computer Science,Masters,Interview,F20,International,,,,
Oxford University,Computer Science,Masters,Interview,F19,International,,,,
University Of Toronto,Computer Science,Masters,Accepted,F20,International,,,,
ETH Zurich,Computer Science,Masters,Rejected,F20,International,,160,155,4.00
Oxford University,Computer Science,Masters,Other,F20,,,,,
University Of Oxford,Computer Science,Masters,Interview,F19,International,,,,
UC San Diego (UCSD),Computer Science,Masters,Other,F20,International,,,,
UC San Diego (UCSD),Computer Science,Masters,Accepted,F20,International,,,,
Oxford University,Computer Science,Masters,Other,F20,,,,,
Carnegie Mellon University,Computer Science,Masters,Other,F20,International,,,,
"University Of Illinois, Chicago (UIC)",Computer Science,Masters,Other,F20,International,,,,
UIUC,Computer Science,Masters,Other,F20,International,,,,
"University Of Illinois, Chicago (UIC)",Computer Science,Masters,Other,F20,International,,,,
"University Of Illinois, Chicago (UIC)",Computer Science,Masters,Accepted,F20,International,,,,
"University Of Californa, Los Angeles (UCLA)",Computer Science,Masters,Rejected,F20,International,,,,
MILA,Computer Science,Masters,Rejected,F20,,2.70,,,
UIUC,Computer Science,Masters,Other,F20,International,,,,
UIUC,Computer Science,Masters,Other,F20,International,,,,
MILA,Computer Science,Masters,Rejected,F20,International,,,,
MILA,Computer Science,Masters,Rejected,F20,International,3.71,155,170,3.00
Columbia FFSEAS,Computer Science Bridge Program,Masters,Interview,F20,American,,,,
"University Of California, Irvine",Computer Science,Masters,Other,F20,International,,,,
MILA,Computer Science,Masters,Rejected,F20,International,3.40,170,162,4.50
University Of Michigan,Computer Science,Masters,Other,F20,International,,,,
Columbia University,Computer Science,Masters,Other,F20,International,,,,
University Of Michigan,Computer Science,Masters,Accepted,F20,,,,,
University of California-Los Angeles,Computer Science,Masters,Rejected,F20,American,3.77,165,148,4.00
University of Pennsylvania,Computer Science,Masters,Accepted,F20,American,3.50,166,159,5.50
University of Pennsylvania,Computer Science,Masters,Other,F20,International,,,,
University Of Alberta,Computer Science,Masters,Accepted,F20,International,3.75,166,,
Northwestern University,Computer Science,Masters,Accepted,F20,International,4.00,170,153,4.50
University of Chicago,Computer Science,Masters,Other,F20,,,,,
University Of Saskatchewan,Computer Science,Masters,Rejected,F20,International,3.00,,,
University Of Alberta (U Of A),Computer Science,Masters,Accepted,F20,International,4.00,,,
Columbia University,Computer Science,Masters,Other,F20,,,,,
